state_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
CA,San Jose,RPO,1/1/2005,6/1/2013,1/24/2006,9/13/2010,1.063,5.7014,,3,44000000,0,1,0,0,0,0,hardware,0,0,0,1,1,0,4.5,1,closed
CA,San Francisco,Fotomoto,10/1/2008,,12/1/2008,5/26/2011,0.1671,2.6493,0.6082,3,1822922,3,1,0,0,0,0,ecommerce,0,1,1,0,0,0,2.3333,1,acquired
NY,New York,Peer39,3/1/2006,,3/1/2006,1/24/2012,0.0,5.9041,3.8411,7,29915001,5,0,1,0,0,0,advertising,1,1,1,1,1,0,2.75,1,acquired
GA,Atlanta,Vitrue,5/1/2006,,5/1/2006,2/17/2011,0.0,4.8027,3.7205,4,33000000,5,0,0,0,0,1,enterprise,0,0,1,1,1,0,3.0,1,acquired
NH,Manchester,Trendslide,8/1/2011,,8/1/2011,3/1/2012,0.0,0.5836,0.5836,2,125000,2,0,0,0,0,1,mobile,0,1,0,0,0,0,1.0,0,acquired
CA,Menlo Park,PublicEarth,1/1/2008,2/15/2011,2/8/2008,5/21/2010,0.1041,2.3863,2.3315,2,4000000,2,1,0,0,0,0,travel,1,0,1,0,0,0,1.0,1,closed
WA,Seattle,Azaleos,5/11/2004,,11/6/2007,11/6/2007,3.4904,3.4904,5.6603,1,10000000,3,0,0,0,0,1,enterprise,0,0,0,0,1,0,2.0,1,acquired
CA,Sunnyvale,Efficient Frontier,1/1/2002,,8/31/2006,8/31/2006,4.6658,4.6658,8.7425,1,6000000,4,1,0,0,0,0,advertising,0,0,0,0,1,0,3.0,1,acquired
CA,Sunnyvale,NetDevices,1/1/2003,,8/16/2005,8/16/2005,2.6247,2.6247,,1,25000000,0,1,0,0,0,0,software,0,0,0,1,0,0,5.0,1,acquired
NY,New York,Go Try It On,12/1/2009,,11/4/2010,11/13/2012,0.926,2.9534,0.8329,3,3750000,3,0,1,0,0,0,fashion,0,1,1,0,0,0,2.0,1,acquired
MA,Cambridge,Performable,10/17/2009,,1/15/2010,1/15/2010,0.2466,0.2466,1.1178,1,3000000,2,0,0,1,0,0,software,0,0,1,0,0,0,1.0,1,acquired
CA,San Francisco,Appstores.com,5/24/2010,,8/1/2010,8/1/2011,0.189,1.189,1.3562,2,1155000,2,1,0,0,0,0,software,0,1,0,0,0,0,9.5,1,acquired
CA,San Mateo,Fortify Software,10/1/2002,,12/15/2005,12/15/2005,3.2082,3.2082,5.2548,1,10000000,2,1,0,0,0,0,software,0,0,0,0,0,1,2.0,1,acquired
CA,South San Francisco,iCurrent,1/1/2006,,8/1/2008,8/1/2008,2.5836,2.5836,2.0,1,3000000,1,1,0,0,0,0,web,0,0,1,0,0,0,1.0,1,acquired
MA,Boston,AisleBuyer,1/1/2009,,11/23/2010,6/13/2011,1.8932,2.4466,2.0,2,11500000,3,0,0,1,0,0,mobile,0,0,0,0,0,0,1.0,1,acquired
TX,Austin,Indeed,11/1/2004,,8/1/2005,8/1/2005,0.7479,0.7479,4.0493,1,5000000,5,0,0,0,1,0,web,0,0,1,0,0,0,3.0,1,acquired
MA,Waltham,Colubris Networks,1/1/2000,,3/8/2005,10/23/2006,5.1863,6.8137,7.3342,2,29000000,1,0,0,1,0,0,public_relations,1,0,0,0,0,1,5.0,1,acquired
CA,San Francisco,Mashery,5/1/2006,,1/1/2007,7/23/2012,0.6712,6.2329,4.0493,6,34700000,4,1,0,0,0,0,enterprise,1,1,1,1,1,1,5.0,1,acquired
CA,Palo Alto,Transparency Software,1/1/2004,1/1/2009,3/9/2005,7/1/2007,1.1863,3.4986,,2,12050000,0,1,0,0,0,0,software,1,0,1,0,0,0,2.0,1,closed
CA,Palo Alto,Viewdle,1/1/2006,,3/1/2008,10/5/2010,2.1644,4.7616,4.0027,3,12000000,2,1,0,0,0,0,analytics,1,0,1,1,0,0,2.0,1,acquired
CA,Aliso Viejo,Enclarity,2/1/2005,,3/10/2009,3/10/2009,4.1041,4.1041,1.9151,1,5500000,1,1,0,0,0,0,consulting,0,0,0,0,1,0,2.0,1,acquired
CA,Sunnyvale,Virsto Software,7/1/2007,,6/26/2009,8/25/2011,1.989,4.1534,2.8986,3,24000000,4,1,0,0,0,0,software,0,0,1,1,0,0,3.3333,1,acquired
MO,Kansas City,Handmark,7/1/2000,,9/12/2005,9/7/2006,5.2027,6.189,7.5068,2,10000000,2,0,0,0,0,1,mobile,0,0,1,1,0,0,4.5,1,acquired
MA,Wilmington,Viacor,12/1/1999,11/11/2011,9/12/2002,11/10/2010,2.7836,10.9507,-1.9151,3,19009671,1,0,0,1,0,0,biotech,0,0,0,1,0,0,2.0,1,closed
CA,San Francisco,Carbonetworks,1/1/2005,7/28/2011,7/1/2008,7/1/2008,3.4986,3.4986,3.0,1,5000000,1,1,0,0,0,0,cleantech,0,0,1,0,0,0,1.0,1,closed
WA,Kirkland,SchemaLogic,1/1/2001,,1/17/2005,4/20/2010,4.0466,9.3041,6.0027,5,18914576,1,0,0,0,0,1,enterprise,1,0,0,0,1,0,3.0,1,acquired
FL,Tampa,Skyway Software,1/1/2001,10/1/2012,5/16/2007,5/16/2007,6.3726,6.3726,,1,4000000,0,0,0,0,0,1,software,1,0,0,0,0,0,3.0,0,closed
MA,Boston,CardStar,12/1/2008,,3/30/2010,9/13/2011,1.3259999999999998,2.7836,1.6740000000000002,3,2030882,2,0,0,1,0,0,software,0,0,1,0,0,0,3.0,1,acquired
CA,Alameda,Makani Power,1/1/2006,,8/23/2008,8/23/2008,2.6438,2.6438,0.0,1,5000000,2,1,0,0,0,0,cleantech,0,0,0,1,0,0,1.0,1,acquired
WA,Bothell,Myrio,12/1/1999,1/1/2012,1/1/2001,1/1/2001,1.0877,1.0877,,1,20500000,0,0,0,0,0,1,software,1,0,0,0,0,0,4.0,1,closed
CO,Boulder,Intela,2/2/2006,,1/18/2010,8/9/2012,3.9616,6.5205,4.5781,2,13250000,4,0,0,0,0,1,advertising,1,0,0,0,0,0,2.0,0,acquired
CA,San Mateo,Sana Security,1/1/2000,,4/2/2007,4/2/2007,7.2548,7.2548,7.0055,1,12000000,1,1,0,0,0,0,security,0,0,0,0,0,0,2.0,1,acquired
CA,San Francisco,Sportgenic,9/1/2005,,1/1/2007,9/9/2008,1.3342,3.0247,3.0219,3,11489687,2,1,0,0,0,0,advertising,0,1,1,1,0,0,3.3333,1,acquired
CA,San Francisco,Lolapps,1/1/2008,,9/5/2008,9/5/2008,0.6795,0.6795,2.9178,1,4000000,3,1,0,0,0,0,web,0,0,1,0,0,0,3.0,1,acquired
CA,Sunnyvale,Behavio,6/12/2012,,6/1/2012,6/1/2012,-0.0301,-0.0301,0.1369999999999999,1,355000,1,1,0,0,0,0,software,0,1,0,0,0,0,1.0,0,acquired
FL,Tampa,Infinity Box,1/1/2006,,1/1/2006,4/1/2006,0.0,0.2466,2.4164,2,118000,3,0,0,0,0,1,web,0,1,0,0,0,0,1.5,1,acquired
CA,San Francisco,adBrite,1/1/2003,2/1/2001,9/1/2004,5/1/2012,1.6685,9.337,7.3808,4,40400000,3,1,0,0,0,0,advertising,0,0,1,1,1,1,1.6667,1,acquired
TX,Dallas,Texert,1/1/2007,7/14/2008,10/21/2008,10/21/2008,1.8055,1.8055,,1,3000000,0,0,0,0,1,0,software,0,0,1,0,0,0,1.0,1,closed
CA,Fremont,Mendocino Software,1/1/2003,2/7/2008,9/12/2005,1/1/2007,2.6986,4.0027,1.0,2,19700000,1,1,0,0,0,0,software,1,0,0,1,0,0,4.0,1,closed
CA,Santa Clara,QuikCycle,1/1/1998,1/1/2011,3/1/2007,3/12/2007,9.1671,9.1973,,2,17800000,0,1,0,0,0,0,software,1,0,0,0,0,0,1.0,1,closed
CA,San Francisco,Instagram,3/1/2010,,3/5/2010,4/5/2012,0.011,2.0986,3.0904,3,57500000,3,1,0,0,0,0,photo_video,0,1,1,1,0,0,4.0,1,acquired
NY,New York,Motionbox,1/1/2006,,9/1/2006,1/14/2009,0.6658,3.0384,2.0,3,17200000,5,0,1,0,0,0,games_video,0,0,1,1,1,0,2.6667,1,acquired
MA,Cambridge,AccelGolf,8/1/2008,5/1/2013,1/1/2008,12/4/2009,-0.5836,1.3425,0.0,7,457282,2,0,0,1,0,0,mobile,1,1,0,0,0,0,1.0,1,closed
CA,San Francisco,MoPub,9/9/2010,,9/1/2010,9/20/2012,-0.0219,2.0329,2.3151,4,18500000,3,1,0,0,0,0,mobile,0,1,1,1,0,0,2.25,1,acquired
NJ,Princeton,DNP Green Technology,1/1/2008,8/24/2012,1/17/2010,1/17/2010,2.0466,2.0466,,1,12000000,0,0,0,0,0,1,cleantech,0,0,1,0,0,0,6.0,1,closed
CO,Loveland,Abound Solar,1/1/2007,11/1/2012,7/6/2010,12/15/2010,3.5123,3.9562,3.9534,2,510000000,3,0,0,0,0,1,cleantech,1,0,0,0,0,0,2.5,1,closed
CA,Mountain View,Trovix,1/1/2002,,12/7/2005,9/6/2006,3.9342,4.6822,4.0027,2,18250000,1,1,0,0,0,0,search,0,0,1,1,0,0,2.5,1,acquired
NY,New York,Thumbplay,9/1/2004,,10/30/2006,4/21/2010,2.1616,5.6384,3.8329,4,41500019,5,0,1,0,0,0,music,0,0,0,0,1,0,4.0,1,acquired
WV,Kearneysville,Plethora Technology,1/1/2000,5/23/2009,6/9/2005,6/9/2005,5.4411,5.4411,,1,1000000,0,0,0,0,0,1,software,0,0,1,0,0,0,3.0,0,closed
CA,Los Angeles,DailyStrength,4/1/2006,,5/18/2007,5/18/2007,1.1288,1.1288,1.0,1,5000000,2,1,0,0,0,0,web,0,0,1,0,0,0,1.0,1,acquired
MI,Canton,Danotek Motion Technologies,1/1/2001,5/1/2013,11/19/2008,8/30/2011,7.8877,10.6658,0.4137,3,42700000,1,0,0,0,0,1,cleantech,1,0,0,1,0,0,3.6667,1,closed
CA,Mountain View,Yub,1/1/2013,1/1/2005,11/19/2013,11/19/2013,0.8822,0.8822,,1,12000000,0,1,0,0,0,0,ecommerce,1,0,0,0,0,0,9.0,1,closed
WA,Bellevue,SNAPin Software,1/1/2003,,7/11/2005,2/7/2006,2.526,3.1041,3.0027,2,22300000,2,0,0,0,0,1,software,0,0,0,1,1,0,4.5,1,acquired
CA,Santa Clara,Azuro,1/1/2002,,1/1/2006,11/13/2009,4.0027,7.8712,0.1616,2,10000000,1,1,0,0,0,0,semiconductor,1,0,0,1,0,0,4.0,1,acquired
DC,Washington,ARPU,5/1/2005,5/4/2010,7/1/2006,12/29/2009,1.1671,4.6658,,3,15564591,0,0,0,0,0,1,advertising,1,0,0,1,1,0,3.5,1,closed
CA,San Francisco,BookFresh,1/1/2007,,7/28/2009,7/28/2009,2.5726,2.5726,2.4795,1,500000,2,1,0,0,0,0,web,0,1,0,0,0,0,5.0,1,acquired
CA,San Francisco,Singly,12/21/2010,,2/1/2011,4/23/2012,0.1151,1.3397,1.8329,2,8950000,2,1,0,0,0,0,analytics,0,0,1,0,0,0,7.0,1,acquired
NY,New York,TxVia,1/1/2006,,10/1/2007,10/26/2010,1.7479,4.8192,4.0027,4,55350000,2,0,1,0,0,0,finance,0,0,1,1,1,1,4.0,1,acquired
CA,Mountain View,Blue Vector Systems,1/1/2002,8/31/2010,9/21/2005,9/21/2005,3.7233,3.7233,,1,4000000,0,1,0,0,0,0,public_relations,0,0,0,1,0,0,3.0,1,closed
IL,Chicago,Open Kernel Labs,1/1/2006,,9/13/2007,7/6/2012,1.6986,6.5151,3.2849,5,10764323,3,0,0,0,0,1,software,1,0,1,0,0,0,2.0,1,acquired
NJ,Somerset,Elanti Systems,1/1/2007,2/11/2012,5/29/2008,5/29/2008,1.4082,1.4082,0.0,1,5500000,1,0,0,0,0,1,software,1,0,0,0,0,0,3.0,1,closed
CA,San Francisco,Astrid,1/1/2008,,4/13/2012,4/13/2012,4.2849,4.2849,2.4164,1,400000,2,1,0,0,0,0,social,0,1,0,0,0,0,3.0,1,acquired
CA,Berkeley,Nordic Windpower,1/1/2007,4/10/2013,10/2/2007,1/5/2010,0.7507,3.0137,,3,54000000,0,1,0,0,0,0,cleantech,1,0,0,0,1,0,2.6667,1,closed
GA,Alpharetta,Visiprise,1/1/1985,5/3/2009,10/17/2005,10/17/2005,20.8055,20.8055,,1,32000000,0,0,0,0,0,1,software,0,0,0,1,0,0,7.0,1,closed
WA,Seattle,Hubspan,1/1/2000,,10/14/2005,10/14/2005,5.789,5.789,,1,13000000,0,0,0,0,0,1,software,0,0,0,0,0,1,4.0,1,acquired
WA,Bellevue,iConclude,1/1/2005,,2/1/2005,4/10/2006,0.0849,1.2712,,3,12500000,0,0,0,0,0,1,software,1,0,1,1,0,0,2.3333,1,acquired
CA,San Jose,41st Parameter,1/1/2004,,5/8/2006,4/11/2012,2.3507,8.2822,1.0027,4,38064570,2,1,0,0,0,0,security,1,0,0,1,1,1,3.0,1,acquired
CA,San Francisco,Aardvark,7/1/2007,9/1/2011,1/1/2007,10/1/2008,-0.4959,1.2548,2.1726,2,6000000,2,1,0,0,0,0,web,0,1,1,0,0,0,4.0,1,acquired
VA,Charlottesville,Hotelicopter,6/1/2006,8/1/2012,11/17/2008,3/31/2011,2.4658,4.8329,0.5863,2,5000000,6,0,0,0,0,1,web,0,0,1,1,0,0,1.0,0,closed
VA,Dulles,Anystream,1/1/2000,,1/1/2000,2/7/2007,0.0,7.1068,6.0055,3,59000000,3,0,0,0,0,1,software,1,0,0,0,1,0,2.0,1,acquired
IL,Chicago,CakeStyle,8/1/2011,8/1/2013,8/13/2012,8/13/2012,1.0356,1.0356,0.0,1,1000000,2,0,0,0,0,1,web,0,1,0,0,0,0,1.0,0,closed
CA,San Francisco,Fluther,1/1/2007,,9/21/2009,9/21/2009,2.7233,2.7233,0.9151,1,600000,3,1,0,0,0,0,web,0,1,0,0,0,0,7.0,1,acquired
CT,Bloomfield,Pocket Communications Northeast,1/1/2006,1/1/2012,11/1/2008,2/20/2009,2.8356,3.1397,3.3781,2,125000000,2,0,0,0,0,1,mobile,0,0,1,1,0,0,2.0,1,closed
CA,Santa Monica,Goodreads,1/15/2007,,11/1/2007,12/9/2009,0.7945,2.9014,3.0493,2,2750000,3,1,0,0,0,0,web,0,1,1,0,0,0,4.0,1,acquired
CA,Santa Clara,Woven Systems,1/1/2003,,12/1/2005,9/25/2007,2.9178,4.7342,,2,30000000,0,1,0,0,0,0,network_hosting,0,0,1,1,0,0,2.5,1,acquired
CA,Milpitas,Kolorific,1/1/2003,7/7/2012,1/5/2007,1/5/2007,4.0137,4.0137,,1,7000000,0,1,0,0,0,0,semiconductor,0,0,0,0,1,0,1.0,0,closed
CA,Menlo Park,Krugle,1/1/2006,,5/31/2006,5/31/2006,0.411,0.411,0.0,1,6100000,2,1,0,0,0,0,search,0,0,0,1,0,0,4.0,1,acquired
CA,San Diego,Flud,10/1/2010,8/8/2013,4/13/2011,9/1/2012,0.5315,1.9205,2.2548,3,2100000,2,1,0,0,0,0,enterprise,1,1,0,0,0,0,4.0,1,closed
CA,San Francisco,Chomp,9/9/2009,,11/1/2009,3/11/2010,0.1452,0.5014,0.4959,2,2565000,3,1,0,0,0,0,mobile,0,1,1,0,0,0,3.5,1,acquired
CA,Burlingame,Origen Therapeutics,1/1/1997,8/3/2012,10/3/2007,10/3/2007,10.7589,10.7589,,1,2000000,0,1,0,0,0,0,biotech,0,0,0,0,0,0,1.0,0,closed
NC,Raleigh,Inlet Technologies,1/1/2003,,7/26/2005,9/8/2008,2.5671,5.6904,2.0027,3,22400000,1,0,0,0,0,1,network_hosting,1,0,0,1,1,0,3.6667,1,acquired
NY,New York,ShopWiki,6/1/2005,,7/1/2006,7/1/2006,1.0822,1.0822,6.0027,1,6250000,1,0,1,0,0,0,ecommerce,0,0,1,0,0,0,1.0,0,acquired
NY,New York,Fondu,2/1/2010,,11/1/2011,11/1/2011,1.7479,1.7479,1.0,1,575000,2,0,1,0,0,0,web,0,1,0,0,0,0,6.0,0,acquired
MA,Somerville,Loudcaster,8/1/2009,1/1/2012,8/1/2009,3/1/2010,0.0,0.5808,0.0,2,53000,1,0,0,1,0,0,web,0,1,0,0,0,0,1.0,1,closed
CA,Redwood City,TwoFish,1/1/2006,,12/1/2006,10/10/2008,0.9151,2.7753,3.0027,2,9500000,2,1,0,0,0,0,ecommerce,0,0,1,1,0,0,2.5,1,acquired
TX,Austin,Workstreamer,10/1/2009,6/1/2013,1/1/2009,7/27/2010,-0.7479,0.8192,-1.7507,2,3500000,2,0,0,0,1,0,enterprise,0,1,1,0,0,0,1.0,1,closed
NY,New York,Qwiki,10/1/2009,,7/10/2010,3/31/2011,0.7726,1.4959,-0.5863,3,10500000,3,0,1,0,0,0,photo_video,1,0,1,0,0,0,6.3333,1,acquired
CA,Fremont,Redwood Systems,1/1/2008,,10/3/2008,5/30/2012,0.7562,4.4137,2.7836,4,34250000,2,1,0,0,0,0,cleantech,1,0,1,1,1,0,2.25,1,acquired
MA,Waltham,Artisan Pharma,1/1/2006,,9/6/2006,7/20/2010,0.6795,4.5507,,5,85381111,0,0,0,1,0,0,biotech,0,0,1,1,1,0,4.6667,1,acquired
MD,Timonium,Bill Me Later,1/1/2000,,3/1/2006,12/1/2007,6.1671,7.9205,8.0055,3,100000000,3,0,0,0,0,1,web,1,0,1,0,0,0,2.5,1,acquired
PA,Pittsburgh,Bueda,1/4/2009,6/1/2013,1/1/2008,7/1/2010,-1.011,1.4877,0.4055,2,125000,2,0,0,0,0,1,advertising,1,1,0,0,0,0,1.0,1,closed
VA,Reston,Defywire,1/1/2003,5/1/2008,4/26/2005,3/27/2007,2.3178,4.2356,-0.3342,2,10600000,1,0,0,0,0,1,mobile,1,0,0,1,0,0,3.0,1,closed
CA,Fremont,Silicon Clocks,1/1/2004,,6/2/2006,6/8/2009,2.4192,5.4384,2.0027,3,26100000,1,1,0,0,0,0,semiconductor,1,0,0,1,0,0,3.5,1,acquired
NY,New York,TheMarkets,1/1/2000,,7/12/2007,7/12/2007,7.5315,7.5315,10.7342,1,30000000,1,0,1,0,0,0,web,1,0,0,0,0,0,5.0,1,acquired
IL,Chicago,Netgamix Inc,9/24/2010,4/3/2012,10/15/2011,7/1/2012,1.0575,1.7699,1.0301,3,132885,2,0,0,0,0,1,games_video,0,1,0,0,0,0,1.0,1,closed
CA,Santa Clara,Sentrigo,10/1/2006,,5/8/2007,12/21/2010,0.6,4.2247,-0.7479,3,9500000,2,1,0,0,0,0,software,0,0,1,1,1,0,2.0,1,acquired
CA,Palo Alto,Netli,1/1/2000,,2/13/2006,2/13/2006,6.1233,6.1233,6.0055,1,18000000,1,1,0,0,0,0,network_hosting,1,0,0,0,0,0,7.0,1,acquired
OH,Cincinnati,Define My Style,2/1/2010,1/1/2012,12/2/2011,12/2/2011,1.8329,1.8329,1.7479,1,690000,1,0,0,0,0,1,web,0,1,0,0,0,0,3.0,1,closed
GA,Atlanta,Firethorn,1/1/2001,,3/1/2006,1/2/2007,5.1644,6.0055,,3,25131611,0,0,0,0,0,1,mobile,1,0,0,1,0,0,1.0,1,acquired
CA,San Jose,Wellcore,1/1/2007,7/1/2013,7/12/2010,7/12/2010,3.5288,3.5288,,1,2000000,0,1,0,0,0,0,hardware,0,0,0,0,0,0,1.0,1,closed
MA,Cambridge,Taligen Therapeutics,1/1/2004,,8/1/2005,8/23/2010,1.5836,6.6466,5.0055,3,78750000,2,0,0,1,0,0,biotech,0,0,1,1,0,0,3.5,1,acquired
CA,San Mateo,Adap.tv,11/1/2006,,2/1/2007,3/28/2011,0.2521,4.4055,3.3151,5,48500000,3,1,0,0,0,0,advertising,1,1,1,1,1,0,2.5,1,acquired
CA,San Francisco,Current Media,1/1/2005,8/20/2013,7/29/2005,7/29/2005,0.5726,0.5726,5.1671,1,15000000,2,1,0,0,0,0,network_hosting,0,0,1,0,0,0,3.0,0,closed
CA,Campbell,ParAccel,1/1/2007,,12/10/2007,4/25/2012,0.9397,5.3178,,5,74000000,0,1,0,0,0,0,analytics,1,0,0,1,1,0,5.3333,1,acquired
